No,보세운송업자부호,보세운송업체명,영업소재지
279,039273,(주)조이로지스틱스,부산광역시 중구 해관로 89 부산중앙빌딩 706호
280,039290,(주)유니온로지스,부산광역시 남구 신선로 303 (용당동) 
281,039307,(주)부산특수물류,부산광역시 남구 유엔평화로143번길 39 (대연동) 4층
282,039336,㈜나르미,부산시 남구 유엔로 66  우암동 
283,039337,씨티종합물류(주),부산광역시 중구 충장대로9번길 20 (중앙동4가) 401호
284,039506,(주)서원운수,"부산광역시 남구 신선로 406 (용당동, 대우상용차) 201호"
285,039569,(주)이지트랜스,"부산광역시 동구 성남로 26 (좌천동, 미진 대형매매상사) 2층"
286,039572,신한로직스(주),부산시 중구 중앙동 4가 80-5 프라자 빌딩 503호 
287,039694,흥국물류(주),"부산광역시 동구 자성로141번길 11 (범일동, 삼환오피스텔) 605호"
288,039B77,(주)영진종합물류,부산광역시 남구 신선로356번길 9 (용당동) 
289,039E09,(주)코리아브이로지스틱스,부산광역시 중구 중앙대로 94 (중앙동4가) 10층(외환은행빌딩)
290,039F62,태양로지스(주),부산광역시 남구 신선로 294 (용당동) 대한통운 부산컨테이너 터미널(주) 내 1층
291,039H70,세아로직스(주),"부산광역시 기장군 기장읍 동부산관광9로 15 ,304호"
292,039J76,덕창로지스틱스(주),"부산광역시 남구 자성로 152 (문현동, 한일오피스텔) 817호"
293,039L30,(주)도성물류,부산광역시 남구 신선로 259-15 (용당동) 3층
294,039L43,(주)신한물류,부산광역시 동래구 아시아드대로231번길 3 (온천동) 2004호
295,039X48,유니코네트워크(주),부산광역시 동구 중앙대로 184 (초량동) 2층
296,039X97,(주)대영로직스,"부산광역시 남구 신선로329번길 26 (용당동, 유림스카이) 403호"
297,039Y51,다우로지스틱스(주),부산광역시 해운대구 센텀북대로 60 (재송동) 403호(센텀아이에스타워)
298,040001,(주)대한항공,"서울특별시 강서구 하늘길 260 (공항동, 대한항공) "
299,040003,국제상운주식회사,서울시 성동구 화양동 7-2번지 
300,040006,공성종합운수(주),경기도 안성군 원곡면 내가천리 162-5번지 
301,040007,천일정기자동차(주),  
302,040013,(주)해우종합물류,서울시 강서구 공항동307-7 
303,040016,(주)삼천종합물류,"인천광역시 중구 공항동로296번길 97-49 (운서동, 인천국제공항자유무역지역) 지6 205호 (주)삼천종합물류"
304,040017,예스로지스틱스(주),"인천광역시 중구 공항동로295번길 77-11 (운서동, 인천공항외항사터미널운송대리점) C동 416에이호"
305,040018,아이.티.씨.로지스틱스(주),"인천광역시 중구 공항동로295번길 77-11 (운서동, 인천공항외항사터미널운송대리점) C동 211호"
306,040019,(주)쥬피터익스프레스,서울특별시 강서구 양천로 81 (방화동) 
307,040022,미래종합물류(주),인천광역시 중구 자유무역로 135 (운서동) 에이치2블럭 208-210호
308,040027,드림로지스틱스(주),경기도 평택시 도일유통길 20-7 (도일동) 
309,040028,대현국제운송(주),"인천광역시 중구 공항동로295번길 77-6 (운서동, 아시아나항공운송대리점) 비동 205호, 206호, 207호(화물터미널)"
310,040030,(주)백상로지스틱스,"인천광역시 중구 공항동로296번길 171 (운서동, 에이엠비) (운서동, 항공물류단지에프구역 에이엠비물류센터 에프2-2)"
311,040037,(주)케이에스글로벌로지스,"인천광역시 중구 공항동로193번길 116 (운서동, 대한항공운송대리점) 운송대리점동 104씨호"
312,040045,(주)동아로지스,"경기도 안산시 단원구 광덕4로 144 (고잔동, 트윈타운) 에이동 506호"
313,040050,(주)원스탑로지스,경기도 광주시 경충대로 65-5 (곤지암읍) 
314,040054,지오피(주),"인천광역시 중구 공항동로296번길 98-114 (운서동, 인천국제공항자유무역지역) 인천국제물류센터 디204호"
315,040055,(주)이지화물,"인천광역시 중구 공항동로295번길 77-8 (운서동, 인천항공화물터미널B) 비동 103,104,105호 (운서동, 운송대리점)"
316,040059,(주)영동글로벌로지스틱스,"인천광역시 중구 공항동로295번길 77-6 (운서동, 아시아나항공운송대리점) B동 223-1,2호"
317,040066,(주)벨로지스,"서울특별시 서초구 서초중앙로 63 (서초동, 리더스빌딩) 501호"
318,040094,(주)이룸로지스틱스,"인천광역시 중구 자유무역로 259 (운서동) 202-1호(인천국제공항 공항물류단지 엠2, 엠3 블럭)"
319,040097,(주)수연지엘에스,"인천광역시 중구 공항동로295번길 77-45 (운서동, 외항사화물터미널) 인천국제공항화물터미널 씨 화물청사씨티 315호"
320,040117,(주)길로직스,"인천광역시 중구 공항동로296번길 98-114 (운서동, 인천국제공항자유무역지역) 디동 209호"
321,040123,(주)세인티엔물류,"인천광역시 중구 자유무역로 25 (운서동) ,씨6블럭 서관402호"
322,040128,에이치로지스틱스(주),"인천광역시 중구 공항동로296번길 97-51 (운서동) (운서동,  지1블럭)"
323,040139,(주)엘케이로지스틱스,"인천광역시 중구 공항동로296번길 98-114 (운서동) ,비1블럭 인천물류센터 D동 211-1호"
324,040167,(주)해인글로벌로지스,"인천광역시 중구 공항동로295번길 77-8 (운서동, 인천항공화물터미널B) 비동 215호(아이에이씨티 인천항공화물터미널)"
325,040170,(주)씨아이씨로지스,인천광역시 중구 자유무역로 95 (운서동) 301호
326,040175,(주)월드허브로지스틱스,"인천광역시 중구 공항동로295번길 77-6 (운서동, 아시아나항공운송대리점) 119-1호"
327,040190,(주)제이에스로직스,인천광역시 중구 공항동로296번길 97-43 (운서동) 2층 214호
328,040192,(주)블루파인,"인천광역시 중구 공항동로295번길 77-11 (운서동, 인천공항외항사터미널운송대리점) 313 에이호"
329,040206,(주)에이치로직스,"인천광역시 중구 공항동로296번길 97-45 (운서동) 201호(운서동, 피3블럭)"
330,041021,페라리로지스틱스코리아 주식회사,"경기도 김포시 고촌읍 아라육로57번길 45 , 3층"
331,050004,(유)대동기업,경남 사천시 곤명면 추천리 423-3 
332,050014,(주)한 순 운 수,경남 진주시 수곡면 사곡리 149-5 
333,050016,(주)현대특수기업,경남 함안군 법수면 황사리 877 
334,050020,대진물류(주),경상남도 산청군 친환경로 3191 (산청읍) 
335,050041,강산통운(주),경상남도 함안군 두배길 16 (법수면) 
336,050058,(유)광덕기업,"부산광역시 남구 우암로 127 (감만동, 세방(주)) "
337,050088,(주)포스텍,경상남도 창원시 성산구 중앙대로228번길 6 (신월동) 2층(센트랄빌딩)
338,053001,삼익물류(주),서울시 중구 서소문 85-3 
339,053048,(주)이맥스물류,부산광역시 남구 수영로 55 (문현동) 3층
340,053136,조은물류(주),"경상남도 창원시 진해구 신항4로 15-85 (용원동, 범한판토스) 201호 202호"
341,060028,(주)지성,전라남도 광양시 제철로 580 (광양읍) 
342,070002,(주) 한라특수운송,전남 영암군 삼호면 삼포리 38-1 
343,071087,선진종합물류(유),서울특별시 강동구 양재대로 1553 (천호동) 
344,071179,(주)태양,전라남도 곡성군 도림로 9 (곡성읍) 
345,080040,(유)금강종합물류,"전라북도 군산시 자유로 482 (오식도동, 군산자유무역지역관리원) 업무지원동 310호"
346,080138,(유)오식도물류,전북특별자치도 군산시 임해로 406 (소룡동) 
347,080166,(주)천마글로벌,"전라북도 군산시 공항로 579 (개사동, 현대오일뱅크) 2층 주식회사천마글로벌"
348,080266,(주)금강로지스틱스,전북특별자치도 군산시 자유무역로 83 (오식도동) 
349,081007,대경글로벌로지텍(주),전북특별자치도 익산시 하나로 48-12 (금강동) 
350,081015,영진물류(주),전라북도 익산시 석암로 219 (석암동) 
351,090077,제주국제판토스　주식회사,제주특별자치도 제주시 임항로 201 (건입동) 
352,110008,(주)한영종합운수,경남 양산시 어곡동 531번지 
353,110011,조운종합물류(주),울산광역시 울주군 회학3길 10-15 (온산읍) 
354,110051,(주)한국탱크로리,울산광역시 울주군 화창6길 24 (청량면) 
355,110058,(주)삼성물류넷,울산광역시 울주군 반구대로 788 (삼남면) 동산빌딩 301호
356,110689,대영티에이에스(주),울산광역시 남구 상개로 194 (상개동) 
357,110697,삼양통운(주),울산광역시 울주군 온산읍 거남3길 24-12 
358,110708,(주)경동이앤에스,울산광역시 남구 장생포로 304 (매암동) 
359,110767,대상해운(주),"울산시 울주군 온산읍 처용산업1길 5 7, 3층 "
360,120002,(주)천일모터트레이드,부산시 사상구 엄궁동 651-1번지  전화번호 053-357-3001 
361,120004,삼화운수(합),대구광역시 북구 오봉로 103 (노원동3가) 
362,120081,(주)제일통운,"경상북도 구미시 낙동강변로 61 (오태동, 구미화물터미널) "
363,122004,동성종합운수(주),경북 영일군 연일읍 오천동 396-8 
364,122007,(주)삼일,"경상북도 포항시 남구 송덕로 125-15 (대송면, (주)삼일) "
365,130001,(주)동우국제,"서울특별시 영등포구 국회대로74길 19 (여의도동, 동우국제빌딩) "
366,130002,일양운수(주),서울시 서초구 방배4동 852-21 
367,130004,(주)한국운창,서울시 강서구 공항동 307-7 
368,130005,양양운수(주),"서울특별시 금천구 가산디지털1로 168 (가산동, 우림라이온스밸리) 비-1510호"
369,130016,(주)엘엑스판토스,서울특별시 종로구 새문안로 58 
370,130025,(주)에이엔씨인터내셔날,"서울특별시 강서구 남부순환로 29 (공항동, 에이엔시(ANC)빌딩) (주)에이엔씨인터내셔날"
371,130038,(주)해우지엘에스,"서울특별시 강서구 강서로 402 (등촌동, 재영빌딩) "
372,130043,(주)상화운수,서울시 강서구 내발산동 651-1 대성  빌딩 3층 
373,130056,우림해운(주),"서울특별시 영등포구 여의공원로 111 (여의도동, 여의도 태영빌딩) 9층 901호"
374,130089,(주)코리아인터링크,"서울특별시 영등포구 영신로 220 (영등포동8가, KnK디지털타워) 1607호"
375,130112,(주)에이씨이익스프레스,"서울특별시 강서구 양천로 401 (가양동, 강서한강자이타워) , 9층 비905호"
376,130120,삼복로지스틱(주),"인천광역시 중구 공항동로296번길 171 (운서동) ,에프블럭 에이엠비 에프1-1"
377,130246,(주)한영로지텍,"경기도 연천군 전곡읍 은전로 81 , 3층"
378,130280,(주)디에프에스로지스틱스,인천광역시 중구 공항동로296번길 98-116 (운서동) 에이동 1층
379,130330,(주)로지스퀘어컨테이너서비스,"서울특별시 금천구 가산디지털2로 123 (가산동, 월드메르디앙2차) 1417호"
380,130463,(주)SH로지스틱스앤테크놀로지,"서울특별시 금천구 가산디지털1로 84 (가산동, 에이스하이엔드타워8차) 3층"
381,130555,(주)진에어,서울특별시 강서구 공항대로 453 (등촌동) 3층
382,130638,(주)지에스에스,서울특별시 강서구 마곡중앙1로 26 (마곡동) 엠리체 404호
383,130718,(주)에이비씨로지스,서울특별시 강서구 마곡중앙로 55 (마곡동) 5층 503~507호(문영퀸즈파크13)
384,130723,(주)서정인터내셔날,서울특별시 강남구 논현로 414 (역삼동) 7층
385,130725,(주)하나파인물류,"서울특별시 강서구 하늘길 210 (공항동, 한국항공화물청사) 329-2호, 4호"
386,130806,(주)에스더쉬핑,"서울특별시 영등포구 양산로 57-5 301호(양평동3가,이노플렉스)"
387,130996,(주)스피드웨이,"서울특별시 강서구 하늘길 246 (공항동, 대한항공화물청사) 208호"
388,130A31,(주)신공항종합물류,"서울특별시 강서구 방화대로 294 (마곡동, 마곡더블유타워) 513호"
389,131002,(주)유한,"경기도 안양시 동안구 관평로 227 (관양동, 한가람아파트 상가동) "
390,131003,합경(주),서울시 영등포구 양평동 5가 106-1 
391,131004,삼복기업(주),경기도 의왕시 오전동 150-1번지 
392,131015,(주)월드라인,경기도 안양시 만안구 안양로 147 (안양동) 4층
393,131038,코레일로지스(주),"경기도 의왕시 오봉로 175 (이동) 의왕 ICD 내 6군 운영건물 204, 205"
394,131065,에이스물류(주),경기도 의왕시 오봉산단3로 25 (삼동) 1동 1116호(의왕테크노파크 더리브비즈원)
395,131188,(주)에스엔에스로지스틱,경기도 의왕시 부곡중앙남1길 37 (삼동) 3층
396,131231,(주)에이케이로지스틱스,인천광역시 연수구 인천타워대로 323 (송도동) 제에이동 제12층 제1211호
397,131787,(주)동양로직스,인천광역시 중구 자유무역로107번길 25 (운서동) (공항물류단지 디1블럭 은산해운항공 인천물류센터)
398,131831,(주)허브넷로지스틱스,서울특별시 강서구 공항대로2길 64 (공항동) 
399,140001,(주)한국기업사,부산시 중구 중앙동 4가 85-11 
400,140002,(주)삼왕,부산광역시 중구 해관로 89 (대창동1가) 부산중앙빌딩 908호
401,150001,수덕운수(주),대전시 중구 대사동 75-16 영진맨숀 1004 
402,150010,유성물류(주),경기도 안산시 단원구 동산로 63 (원시동) 365호(원시동)
403,150011,서해운수(주),충남 당진군 고대면 장항리 487-2 
404,150012,(주)천안물류　　　,충청남도 천안시 서북구 석문길 47 (성거읍) 
405,150034,(주)티지엘,대전광역시 대덕구 문평동로 41-16(문평동) 
406,150067,(주)로지스퀘어,서울특별시 강남구 봉은사로 479 (삼성동) 13층
407,151002,(주)원남,충북 음성군 소이면 충청대로 1994-2 2 
408,151003,대화물류(주),충남 보은군 보은읍 지산리 1-13번지  전화번호 032-885-1764 
409,152002,수덕운수(주),충남 아산시 신동 306-21 
410,152040,(주)유성티엘씨,"충청남도 천안시 서북구 연곡길 322 (입장면, (주)유성티엘씨) "
411,152176,(주)유니지엘에스,충청남도 아산시 영인면 아산호로 352 
412,152392,태성로직스(주),"충청남도 아산시 아산밸리중앙로 83 (둔포면, 더원프라자) 503호"
